Code,Description
"0001-0559","12:00AM to 5:59AM"
"0600-0659","6:00AM to 6:59AM"
"0700-0759","7:00AM to 7:59AM"
"0800-0859","8:00AM to 8:59AM"
"0900-0959","9:00AM to 9:59AM"
"1000-1059","10:00AM to 10:59AM"
"1100-1159","11:00AM to 11:59AM"
"1200-1259","12:00PM to 12:59PM"
"1300-1359","1:00PM to 1:59PM"
"1400-1459","2:00PM to 2:59PM"
"1500-1559","3:00PM to 3:59PM"
"1600-1659","4:00PM to 4:59PM"
"1700-1759","5:00PM to 5:59PM"
"1800-1859","6:00PM to 6:59PM"
"1900-1959","7:00PM to 7:59PM"
"2000-2059","8:00PM to 8:59PM"
"2100-2159","9:00PM to 9:59PM"
"2200-2259","10:00PM to 10:59PM"
"2300-2359","11:00PM to 11:59PM"
