Code,Description
"007","Aero Commander 200"
"008","Aero Macchi Al-60"
"009","Aeronca 7-Ac"
"010","Beech Bonanza 35a/C/D/E/G/H/J/K/S/V/  36a"
"020","Bellanca Ch-300"
"024","Beech B-23 Musketeer"
"029","Cessna 150/152"
"030","Cessna 180"
"031","Cessna 180a/B"
"032","Cessna 180c/D/E/F"
"033","Cessna 185a/B/C Skywagon"
"034","Helio H-250/295/395"
"035","Cessna C206/207/209/210 Stationair"
"036","Cessna 172 Skyhawk"
"037","Cessna 195"
"038","Cessna 177 Cardinal"
"039","Cessna 182 Skylane"
"040","Dehavilland Dhc2 Beaver"
"041","Cessna 205"
"042","Dehavilland Dhc3 Otter"
"044","Lake La-4"
"050","Howard Dga-15p"
"051","Mooney M-21"
"052","Mooney M-20c/E/G"
"065","Noorduyn Uc-64as"
"070","Pilatus Porter Pc6"
"071","Pilatus Porter Pc6/350"
"079","Piper Pa-32 (Cherokee 6)"
"080","Piper Pa-18 (Super-Cub)"
"081","Piper Pa-14 (Family-Cruiser)"
"082","Piper Pa-22 (Tri-Pacer)"
"083","Piper Pa-24 (Comanche)"
"084","Piper Pa-28 (Cherokee)"
"085","Stinson Sr-9"
"086","Piper Pa-12 (Supercruiser)"
"087","Stinson V-77"
"088","Stinson Sr-10e Bushman"
"091","Float/Amphib Turbine"
"092","Float/Amphib Piston-Lt 450 Hp"
"093","Float/Amphib Piston-450+ Hp"
"094","Land-Turbine"
"095","Land-Piston-Lt 450 Hp"
"096","Land-Piston-450+ Hp"
"097","Stinson F.W. 300-450 Hp"
"098","Stinson 0-299 Hp"
"103","Aero Commander (500/600 Series Excpt 680fl)"
"104","Grand Commander 680fl"
"105","Beech C-50 (Twin Bonanza)"
"110","Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)"
"111","Beech King Air 90"
"113","Beech B-95 (Travelair)"
"115","Beech At-11"
"117","Beech Baron (55 Series)"
"120","Cessna T-50 (Bobcat)"
"121","Cessna C-421"
"122","Cessna C-310 Series"
"123","Cessna C-340/335"
"125","Cessna C-402/402a/402b"
"128","Cessna 404"
"130","C-28 5acf Pby"
"131","Pilatus Britten-Norman Bn2/A Islander"
"132","C-28 5acf-Pby-Emq"
"133","Beech 65/65a-80/65b-80 (Queen Air)"
"140","Convair Cv-240"
"143","Convair Cv-340/440"
"148","Cessna C-337 (Super Sky Master)"
"149","Cessna C-401"
"150","Curtiss C46/20t/A/D/F/R Commando"
"152","Cessna C-411"
"153","Dehavilland Dhc4 Caribou"
"158","Mcdonnell Douglas Dc-2"
"159","Hamilton B-18s Little Liner (Converted)"
"160","Mcdonnell Douglas Dc-3/A/C,c-47/B"
"161","Dornier Do-28 Skyservant"
"166","Cessna C-336"
"167","Fairchild C-82a"
"170","Grumman G-21a (Goose)"
"171","Grumman Sa-16a-Gr (Albatross)"
"172","Grumman G-44/44a (Widgeon)"
"173","Grumman G-73 (Mallard)"
"174","Dehavilland Dove Dh-104"
"175","Lockheed L-12a/L-10/10a"
"180","Martin 202/202a"
"185","Martin 404"
"190","Piper Pa-23-250 (Aztec/Apache)"
"193","Piper T-1020"
"194","Piper Pa-31 (Navajo)/T-1020"
"195","Piper Pa-34/39 (Twin Commanche)"
"200","Boeing 377 Stratocruiser"
"201","Pilatus Britten-Norman Bn2a Trislander"
"205","Dehavilland Dh-114 Heron"
"210","Mcdonnell Douglas Dc-4(C54/C54a/C54b/C54e)"
"216","Mcdonnell Douglas Dc-6"
"218","Mcdonnell Douglas Dc-6a"
"220","Mcdonnell Douglas Dc-6b"
"225","Mcdonnell Douglas Dc-7a/B"
"228","Mcdonnell Douglas Dc-7c"
"240","Lockheed L-049"
"242","Lockheed L-649"
"244","Lockheed L-749/749a"
"247","Lockheed L-1049"
"248","Lockheed L-1049c/D/E"
"252","Lockheed L-1049g/H"
"258","Lockheed L-1649a"
"280","Sikorsky Vs-44a (Amphibian)"
"303","Sud Alouette"
"311","Bell B-47d"
"312","Bell B-47g"
"313","Bell B-47g2"
"314","Bell B-47j2"
"315","Bell B-206a"
"320","Boeing Vertol Bv-107"
"321","Boeing Vertol Bv-44"
"322","Brantley B-2"
"323","Fairchild-Hiller Fh-1100"
"330","Boelkow Bo-105c"
"340","Eurocompter As350 B2 Astar"
"350","Hughes 300"
"360","Robinson R44"
"380","Sikorsky S-51"
"381","Sikorsky S-55"
"385","Sikorsky S-58a/B/C"
"386","Sikorsky S-61n"
"387","Sikorsky S-61"
"388","Sikorsky S-61l"
"389","Sikorsky S-62/A"
"390","Sikorsky S-76"
"393","Agustawestland Aw139"
"396","Westland Sr-N5 (Acv)"
"401","Beech 1300"
"402","Beech Model 18 Turbo-Prop Conversions"
"403","Beech 99 Airliner"
"404","Beech C99"
"405","Beech 1900 A/B/C/D"
"406","Beech 200 Super Kingair"
"407","British Aerospace (Hawker-Siddeley) Bae-748"
"408","British Aerospace Bae-Atp"
"409","Beechcraft King Air B100"
"410","Rockwell Turbo-Commander 680-W/690"
"411","Beech King Air 65-A90 Queen Air"
"412","Casa/Nurtanio C212 Aviocar"
"413","Casa 235"
"415","Cessna C208b/Grand Caravan"
"416","Cessna 208 Caravan"
"417","Cessna 406 Caravan Ii"
"418","Cessna C-441"
"420","Convair Cv-540"
"422","Quest Kodiak 100"
"430","Convair Cv-580"
"431","Socata Tbm850"
"433","Socata Tbm-700"
"435","Convair Cv-600"
"437","Raytheon Beechcraft Baron B-58"
"440","Convair Cv-640"
"441","Aerospatiale/Aeritalia Atr-42"
"442","Aerospatiale/Aeritalia Atr-72"
"444","Antonov 24/26/32"
"445","Convair Cv-660"
"448","Dornier 228"
"449","Dornier 328"
"450","Fokker Friendship F-27/Fairchild F-27/A/B/F/J"
"452","Fokker 50"
"454","Fairchild-Hiller Fh-227"
"455","Fairchild Metro 23"
"456","Saab-Fairchild 340/B"
"457","Beech King Air C-90"
"458","Beechcraft Super King Air"
"459","Saab-Fairchild 340/A"
"460","Grumman G-21g (Turbo-Goose)"
"461","Embraer Emb-120 Brasilia"
"462","Swearingen Metro Merlin"
"463","Mitsubishi Mu-2/B"
"464","Embraer Emb-110 Bandeirante"
"465","Nihon Ys-11"
"466","Swearingen Metro Ii"
"467","Swearingen Metro Iii"
"468","Handley Page Jetstream"
"469","British Aerospace Jetstream 31"
"470","Gulfstream I"
"471","British Aerospace Jetstream 41"
"473","Gulfstream I-Commander"
"474","Hawker Siddeley 748"
"475","Nord 262"
"476","Piper Pa-30/31t Cheyenne Ii Xl"
"477","Mohawk 298"
"478","Piper T-1040"
"479","Pilatus Pc-12"
"480","Pilatus Turbo Porter Pc-6a"
"481","Pilatus Turbo Porter Pc-6b"
"482","Dehavilland Dhc8-400 Dash-8"
"483","Dehavilland Dhc8-100 Dash-8"
"484","Dehavilland Dhc8-300 Dash 8"
"485","Dehavilland Twin Otter Dhc-6"
"486","Shorts Harland Sc-7 Skyvan"
"487","Shorts 330"
"488","Carstedt Cj-600a"
"489","Shorts 360"
"490","Volpar Turbo 18"
"491","Dehavilland Dhc8-200q Dash-8"
"507","Antonov 12"
"508","Antonov An-22 Freighter"
"510","Aw-650"
"520","Canadair Cl-44d"
"541","Ilyushin Il-18"
"550","Lockheed L-188a/C Electra"
"552","Lockheed L-382b"
"553","Lockheed L100-10 Hercules"
"555","Lockheed L100-20 Hercules"
"556","Lockheed L100-30/L-382e"
"560","Shorts Belfast Freighter-Sh5"
"570","Dehavilland Dhc7 Dash-7"
"580","Vickers Viscount 700/744/745/745d"
"584","Vickers Viscount V800/810/812"
"601","Fokker F28-1000 Fellowship"
"602","Fokker F28-4000/6000 Fellowship"
"603","Fokker 100"
"604","Fokker 70"
"605","British Aerospace Bac-111-200"
"606","Raytheon Beechraft 390 Premier I"
"607","Antonov An-72/74"
"608","Boeing 717-200"
"609","Bombardier Bd-100-1a10 Challenger 300"
"610","British Aerospace Bac-111-400"
"611","Aero Commander 1121"
"612","Boeing 737-700/700lr"
"613","Aerospatiale Corvette"
"614","Boeing 737-800"
"615","Boeing 737-5/600lr"
"616","Boeing 737-500"
"617","Boeing 737-400"
"618","Boeing 737-300lr"
"619","Boeing 737-300"
"620","Boeing 737-100/200"
"621","Boeing 737-200c"
"622","Boeing 757-200"
"623","Boeing 757-300"
"624","Boeing 767-400/Er"
"625","Boeing 767-200/Er/Em"
"626","Boeing 767-300/300er"
"627","Boeing 777-200er/200lr/233lr"
"628","Canadair Rj-100/Rj-100er"
"629","Canadair Rj-200er /Rj-440"
"630","Mcdonnell Douglas Dc-9-10"
"631","Canadair Rj-700"
"632","Dornier 328 Jet"
"633","Boeing 737-600"
"634","Boeing 737-900"
"635","Mcdonnell Douglas Dc-9-15f"
"636","Cessna Citation Ii/ Bravo"
"637","Boeing 777-300/300er/333er"
"638","Canadair Crj 900"
"639","Cessna Citationjet/Cj1/Cj2/Cj3"
"640","Mcdonnell Douglas Dc-9-30"
"641","Gulfstream Aerospace G-Iii/G-Iv"
"642","Raytheon Beechcraft Hawker 400xp"
"643","1124a Westwind Ii"
"644","Airbus Industrie A-318"
"645","Mcdonnell Douglas Dc-9-40"
"646","Cessna Citation X Model 650/550b/550xl"
"647","Cessna Citation X Model Ce750 X"
"648","Gulfstream G200"
"649","Tupolev Tu-204-300"
"650","Mcdonnell Douglas Dc-9-50"
"651","Gulfstream G150"
"652","Canadair Cl-600 Challenger"
"653","Cessna Ce-680 Citation Sovereign"
"654","Mcdonnell Douglas Dc9 Super 87"
"655","Mcdonnell Douglas Dc9 Super 80/Md81/82/83/88"
"656","Mcdonnell Douglas Md-90"
"657","Bombardier Crj 705"
"658","Bombardier Bd-700 Global Express"
"659","Bombardier (Gates) Learjet 60"
