ProductID	Product	CategoryID	SupplierID	CostPrice	SalesPrice
101	Haylax	3	9002	$82.56	$98.79
102	Ittop	3	9003	$2.86	$3.77
103	Openstrong	3	9010	$59.31	$86.24
104	Tan Zozbam	2	9009	$31.00	$39.98
105	Redhome	1	9003	$56.15	$68.69
106	Bluedomwarm	3	9008	$84.88	$96.27
107	Tampsoft	2	9009	$53.95	$64.82
108	Truetip	4	9008	$13.77	$14.44
109	Biolax	1	9007	$92.22	$129.52
110	Physdom	3	9001	$52.84	$69.42
111	Dan-In	2	9004	$23.90	$30.33
112	Ton Is	2	9005	$41.24	$54.84
113	Zummaanwarm	2	9007	$42.76	$49.99
114	Joyplus	2	9001	$74.67	$110.16
115	Uno Goron	5	9006	$69.21	$91.00
116	Finair	3	9001	$34.93	$51.88
117	Konking	5	9003	$45.20	$66.62
118	Zoo Zunstring	3	9009	$84.46	$99.26
119	Mathlex	3	9010	$38.85	$50.08
120	Xyltex	4	9010	$1.67	$1.67
121	Meddax	2	9007	$46.13	$48.97
122	Strongis	1	9007	$75.67	$106.94
123	Alphaflex	1	9009	$15.22	$14.99
124	Spanair	5	9006	$66.82	$83.59
125	Silnix	3	9006	$57.57	$79.24
126	S-light	2	9005	$61.31	$80.30
127	Gravelam	3	9004	$52.79	$53.98
128	Dom-Dom	1	9003	$52.85	$72.78
129	Dongcom	2	9002	$13.22	$14.13
130	Ronzap	1	9001	$73.59	$104.00
131	Zoom-Trax	4	9010	$3.11	$3.88
132	Trio-Top	2	9005	$95.65	$96.35
133	Tran-Is	1	9009	$91.67	$111.18
134	Truetough	2	9007	$18.95	$20.41
135	Sannix	5	9006	$43.26	$64.21
136	Trustlotnix	3	9007	$60.80	$67.94
137	Greentop	3	9008	$10.09	$10.33
138	Silvertrax	2	9001	$22.74	$33.88
139	Plusdom	5	9003	$38.70	$44.70
140	Zamtough	1	9003	$13.21	$19.42
141	Keycore	3	9006	$61.94	$80.38
142	Zummawarm	1	9009	$99.09	$144.56
143	Tam Canair	1	9002	$46.45	$66.49
144	Kinfix	4	9010	$88.44	$126.42
145	Stringtax	5	9004	$41.08	$53.86
146	Zoomeco	1	9007	$5.53	$7.19
147	Coffix	5	9006	$64.43	$80.28
148	Salt-Bam	1	9003	$88.10	$108.29
